"","FID","Site","SOC","SAND","CLAY","ANPP_MAP_E","data_MAT","data_MAP","LIG","N","CN","CDI","SAND2","CLAY2","LAT","LONG","L1","ELEVATION","ASPECT_CLA","SLOPE","CURVATURE","GOOGLE_DIR","Kormos_MAP","Kormos_MAT","canopy_hei","rcew_veg_c","predicted_GPP","rcew_DEM_3","ANPP","MAT","MAP","MIMSOC","MIMIC","SOC_error","ANPPbyMAP"
"16",27,"S20",13.04138889,60.92166667,20.75611111,627.24367,7.6,557.35,16.6,1.37,36.496,0,0,0,43.12258624,-116.7849555,"Johnston Draw",1618.29,"North",21.8,-5.6,"Nicholas_Patton",557.742981,7.5564599,1.0643899,27.3262997,917.6279907,1617.76001,608.81399535,7.5564599,557.742981,4.33919330656106,0.0517481852368087,8.70219558343894,1.09156729190645
"17",28,"S21",3.035,37.76,18.48833333,827.837272,6.5,678.76,16.6,1.37,36.496,0,0,0,43.12283706,-116.7981045,"Johnston Draw",1819.73,"Northeast",16.9,-0.77,"Nicholas_Patton",679.2290039,6.5083899,0.0785019,14.0452995,989.0089722,1819.869995,644.5044861,6.5083899,679.2290039,4.50289736154803,0.0547531714931678,-1.46789736154803,0.94887656799015
"18",29,"S22",3.310909091,66.47545455,12.32454545,605.170278,7.6,543.99,16.6,1.37,36.496,0,0,0,43.12292115,-116.782785,"Johnston Draw",1613.62,"North",19.7,0.72,"Nicholas_Patton",544.9630127,7.5999999,0.341229,100,583.1110229,1613.51001,441.55551145,7.5999999,544.9630127,4.11118270131109,0.0375902988546112,-0.800273610311095,0.810248587812095
"19",30,"S23",0.976666667,13.055,62.945,541.08144,8.1,505.2,16.6,1.37,36.496,0,0,0,43.12298817,-116.776913,"Johnston Draw",1509.35,"Southeast",7.9,-0.52,"Nicholas_Patton",506.0570068,8.1150398,0.0754072,13.8839998,407.0710144,1509.400024,353.5355072,8.1150398,506.0570068,3.94005953518408,0.0301191939204164,-2.96339286818408,0.698608066777982
"20",31,"S24",9.036666667,53.64,15.81888889,724.31042,7,616.1,16.6,1.37,36.496,0,0,0,43.12303246,-116.7927984,"Johnston Draw",1729.91,"Northeast",20,-1.91,"Nicholas_Patton",620.5009766,7,3.33413,95.1225967,1697.349976,1729.75,998.674988,7,620.5009766,4.92201530999452,0.084558868110146,4.11465135700548,1.60946561836564
"21",32,"S25",4.775,71.972,15.234,654.521492,7.6,573.86,16.6,1.37,36.496,0,0,0,43.12303738,-116.7856704,"Johnston Draw",1614.42,"North",22.2,0.61,"Nicholas_Patton",573.9639893,7.5999999,0.169649,55.6142006,849.9509888,1614.27002,574.9754944,7.5999999,573.9639893,4.28728573166229,0.0488459599413115,0.487714268337714,1.00176231456826
"22",33,"S26",2.034193548,72.18967742,17.47419355,663.542504,7.5,579.32,16.6,1.37,36.496,0,0,0,43.12317978,-116.7878097,"Johnston Draw",1638.27,"North",28.5,2.79,"Nicholas_Patton",579.0180054,7.5,0.214987,51.7928009,884.9459839,1637.930054,592.47299195,7.5,579.0180054,4.31660278842826,0.050386598178532,-2.28240924042826,1.02323759611017
"23",34,"S27",8.913333333,65.35622222,12.678,671.060014,7.6,583.87,16.6,1.37,36.496,0,0,0,43.12349175,-116.7874879,"Johnston Draw",1616.16,"Northeast",28.1,-3.35,"Nicholas_Patton",584.0910034,7.5633202,3.46839,73.4173965,1149.939941,1616.650024,724.9699705,7.5633202,584.0910034,4.49660506868359,0.0615122620404946,4.41672826431641,1.24119352340636
"24",35,"S28",4.908974359,14.55897436,55.82153846,791.80279,6.6,656.95,16.6,1.37,36.496,0,0,0,43.12363069,-116.7967467,"Johnston Draw",1798.82,"Northeast",5.2,0.48,"Nicholas_Patton",657.9390259,6.5999999,0.0429996,0,247.4929962,1798.780029,273.7464981,6.5999999,657.9390259,3.90503007144546,0.0239398464944935,1.00394428755454,0.41606666776688
"25",36,"S29",3.157142857,77.81714286,10.69714286,680.69234,7.6,589.7,16.6,1.37,36.496,0,0,0,43.12378073,-116.7876965,"Johnston Draw",1618.14,"South",13.7,-2.37,"Nicholas_Patton",589.8939819,7.5999999,0.162813,41.3151016,601.9329834,1618.439941,450.9664917,7.5999999,589.8939819,4.1276535437227,0.0383621376541495,-0.970510686722696,0.764487357961297
"26",37,"S30",2.342,71.243,12.293,602.642412,7.9,542.46,16.6,1.37,36.496,0,0,0,43.12385697,-116.7800245,"Johnston Draw",1548.39,"Southeast",19.8,0.6,"Nicholas_Patton",543.3209839,7.9187198,0.087916,11.3063002,386.3739929,1548.119995,343.18699645,7.9187198,543.3209839,3.9439260039184,0.0292180154392192,-1.6019260039184,0.631646865516913
"27",38,"S31",2.49,58.73,18.765,616.190452,7.8,550.66,16.6,1.37,36.496,0,0,0,43.12387104,-116.7826147,"Johnston Draw",1570.03,"Northeast",17.1,0.8,"Nicholas_Patton",552.28302,7.8000002,0.238387,47.6589012,641.6920166,1569.910034,470.8460083,7.8000002,552.28302,4.12818724728057,0.040075037571595,-1.63818724728057,0.852544784556295
"28",39,"S32",0.798333333,73.59833333,13.725,625.723646,7.9,556.43,16.6,1.37,36.496,0,0,0,43.12416094,-116.7826214,"Johnston Draw",1568.05,"Southeast",18.9,1.77,"Nicholas_Patton",560.7670288,7.87187,0.256978,27.6818008,483.3880005,1568.099976,391.69400025,7.87187,560.7670288,4.01971626731256,0.0333426901822371,-3.22138293431256,0.698496844738173
"29",40,"S33",2.126666667,84.1925,13.48833333,723.038226,7.3,615.33,16.6,1.37,36.496,0,0,0,43.12421955,-116.7895852,"Johnston Draw",1666.1,"Southeast",22.5,2.14,"Nicholas_Patton",615.8690186,7.3393002,0.11259,23.4426994,397.04599,1665.930054,348.522995,7.3393002,615.8690186,4.01686164500926,0.0296916176477627,-1.89019497800926,0.565904412260039
"30",41,"S34",3.714852941,80.00676471,13.98132353,740.799376,7.2,626.08,16.6,1.37,36.496,0,0,0,43.1242439,-116.7916884,"Johnston Draw",1695.21,"Southeast",15.3,-0.56,"Nicholas_Patton",626.9069824,7.1999998,0.0495352,0,583.2750244,1695.540039,441.6375122,7.1999998,626.9069824,4.14605014646739,0.0376141463883904,-0.431197205467388,0.704470558788914
"31",42,"S35",3.323333333,46.9,14.86333333,747.77166,6.9,630.3,16.6,1.37,36.496,0,0,0,43.12449119,-116.794308,"Johnston Draw",1737.62,"Northeast",15,-2.09,"Nicholas_Patton",630.5609741,6.9000001,4.1763201,43.9603004,1548.829956,1737.73999,924.414978,6.9000001,630.5609741,4.82229151954934,0.0782734841709544,-1.49895818654934,1.46601996629972
