OBJECTID,Site,SOC,SAND,CLAY,ANPP_MAP_E,MAT,MAP,LIG,N,CN,CDI,SAND2,CLAY2,LAT,LONG,L1,ELEVATION,ASPECT_CLA,SLOPE,CURVATURE,GOOGLE_DIR,Kormos_MAP,Kormos_MAT,canopy_hei,rcew_veg_c,predicted_,rcew_DEM_3,pred_MAP
11,S8,0.73,16.65,18.98,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.07839329,-116.8259093,S23Ab,NA,NA,NA,NA,Ryan_Will,1114.949951,4.5999999,0.488923,51.860199,979.1099854,2162.580078,1374.563477
12,S8,0.73,16.65,18.98,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.07839329,-116.8259093,S23Ac,NA,NA,NA,NA,Ryan_Will,1114.949951,4.5999999,0.488923,51.860199,979.1099854,2162.580078,1374.563477
13,S9,1.246111111,27.33833333,22.08166667,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.08370516,-116.74241,S6Aa,NA,NA,NA,NA,Ryan_Will,759.7880249,5.6999998,0.201751,15.6687002,191.5749969,1938.060059,754.9210205
14,S9,1.246111111,27.33833333,22.08166667,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.08370516,-116.74241,S6Ab,NA,NA,NA,NA,Ryan_Will,759.7880249,5.6999998,0.201751,15.6687002,191.5749969,1938.060059,754.9210205
15,S9,1.246111111,27.33833333,22.08166667,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.08370516,-116.74241,S6Ac,NA,NA,NA,NA,Ryan_Will,759.7880249,5.6999998,0.201751,15.6687002,191.5749969,1938.060059,754.9210205
16,S10,1.072222222,71.765,11.2,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.10619377,-116.7730587,S20Aa,NA,NA,NA,NA,Ryan_Will,571.9310303,7.6999998,0.061505,8.1568203,415.6359863,1583.719971,499.480011
17,S10,1.072222222,71.765,11.2,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.10619377,-116.7730587,S20Ab,NA,NA,NA,NA,Ryan_Will,571.9310303,7.6999998,0.061505,8.1568203,415.6359863,1583.719971,499.480011
18,S10,1.072222222,71.765,11.2,NA,NA,NA,16.6,1.37,36.496,0,0,0,43.10619377,-116.7730587,S20Ac,NA,NA,NA,NA,Ryan_Will,571.9310303,7.6999998,0.061505,8.1568203,415.6359863,1583.719971,499.480011
19,S11,2.193333333,37.335,15.65333333,576.091558,6.2,526.39,16.6,1.37,36.496,0,0,0,43.11716535,-116.7257274,South Upper Sheep Creep,1915.93,North,10.9075,0.06,Nicholas_Patton,526.1469727,6.1999998,0.140159,38.6609993,459.0580139,1915.920044,1108.251587
20,S12,1.558333333,45.99166667,6.333333333,477.9674,6.5,467,16.6,1.37,36.496,0,0,0,43.11980227,-116.722923,Upper Sheep Creek,1904.67,North,12.5867,-2.05,Nicholas_Patton,465.7460022,6.5,0.0181185,0,316.95401,1904.729981,1095.721802
